epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.51324,1.71207,7.09465,1.6114,0,0,0,0,1.33576,9.38764,1.48833,0,0,0
2,4.34227,2.00951,6.37477,1.83544,0.04826,0.33333,0.03737,0.01869,1.23649,8.64486,1.23506,1.9901e-05,1.9901e-05,1.9901e-05
3,6.68957,1.48674,6.30869,1.46434,0.37714,0.66667,0.57071,0.45795,0.78206,5.48811,0.77043,3.9604e-05,3.9604e-05,3.9604e-05
4,9.00885,1.1382,4.54596,1.1676,1,0.89144,0.995,0.85154,0.6514,4.78976,0.72227,5.9109e-05,5.9109e-05,5.9109e-05
5,11.2463,1.00415,3.6361,1.15236,0.95901,1,0.995,0.86254,0.63552,4.89652,0.71423,7.8416e-05,7.8416e-05,7.8416e-05
6,13.4923,0.629,3.97861,0.96422,0.96212,1,0.995,0.77444,0.82285,4.3028,0.73066,9.7525e-05,9.7525e-05,9.7525e-05
7,15.4311,0.76475,2.78372,0.98563,0.91779,1,0.995,0.75204,0.97476,3.87717,0.75983,0.000116436,0.000116436,0.000116436
8,17.3126,0.6977,3.0038,0.78665,0.91975,1,0.995,0.82954,0.85643,3.10172,0.78519,0.000135149,0.000135149,0.000135149
9,19.199,0.73646,2.1425,0.91801,0.56516,0.88388,0.753,0.64914,0.75438,3.62146,0.80469,0.000153664,0.000153664,0.000153664
10,21.1836,0.67206,2.67238,0.90872,0.95929,1,0.995,0.78557,0.94006,3.26219,0.83303,0.000171981,0.000171981,0.000171981
11,23.146,0.71455,2.26308,0.89465,0.9657,1,0.995,0.66411,1.1035,3.4231,0.84381,0.0001901,0.0001901,0.0001901
12,25.1153,0.6696,2.18577,0.82712,0.97876,1,0.995,0.79661,0.84894,2.64915,0.78686,0.000208021,0.000208021,0.000208021
13,27.0759,0.81031,2.29336,0.93394,0.98078,1,0.995,0.82957,0.66576,2.05545,0.74326,0.000225744,0.000225744,0.000225744
14,28.9602,0.69945,2.0608,0.86749,0.97483,1,0.995,0.81279,0.5705,2.47269,0.73464,0.000243269,0.000243269,0.000243269
15,30.8721,0.55365,2.89435,0.82992,0.9748,1,0.995,0.78524,0.68285,2.76209,0.75485,0.000260596,0.000260596,0.000260596
16,32.7094,0.55061,1.64597,0.88984,0.9816,1,0.995,0.78524,0.79192,3.17551,0.75797,0.000277725,0.000277725,0.000277725
17,34.4987,0.67047,1.41852,0.8723,0.98562,1,0.995,0.80757,0.77481,3.39568,0.76571,0.000294656,0.000294656,0.000294656
18,36.2344,0.68611,1.38175,0.88208,0.98562,1,0.995,0.80757,0.77481,3.39568,0.76571,0.000311389,0.000311389,0.000311389
19,38.0334,0.90773,1.74281,0.93955,1,0.98518,0.995,0.82954,0.65831,3.36494,0.7607,0.000327924,0.000327924,0.000327924
20,39.8539,0.67462,1.67861,0.96428,1,0.98518,0.995,0.82954,0.65831,3.36494,0.7607,0.000344261,0.000344261,0.000344261
21,41.6939,0.61173,1.35523,0.86543,1,0.92084,0.995,0.80757,0.7447,3.85695,0.80077,0.0003604,0.0003604,0.0003604
22,43.4226,0.56933,1.21138,0.89801,1,0.92084,0.995,0.80757,0.7447,3.85695,0.80077,0.000376341,0.000376341,0.000376341
23,45.4446,0.63161,1.33238,0.89959,0.70047,1,0.9125,0.70532,0.73934,3.92454,0.82398,0.000392084,0.000392084,0.000392084
24,47.4654,0.67731,1.1298,0.90286,0.70047,1,0.9125,0.70532,0.73934,3.92454,0.82398,0.000407629,0.000407629,0.000407629
25,49.4461,0.64906,1.24576,0.89568,0.9661,1,0.995,0.77482,0.67855,4.17085,0.86409,0.000422976,0.000422976,0.000422976
26,51.3896,0.65,1.45303,0.91126,0.9661,1,0.995,0.77482,0.67855,4.17085,0.86409,0.000438125,0.000438125,0.000438125
27,53.4218,0.64506,1.12161,0.84889,0.97094,1,0.995,0.85154,0.68239,4.36291,0.8334,0.000453076,0.000453076,0.000453076
28,55.7701,0.77747,1.12641,0.90744,0.97094,1,0.995,0.85154,0.68239,4.36291,0.8334,0.000467829,0.000467829,0.000467829
29,58.372,0.70386,1.03117,0.91269,0.94874,0.66667,0.863,0.73714,0.78111,4.18558,0.82782,0.000482384,0.000482384,0.000482384
30,60.7586,0.74629,1.19939,0.98791,0.94874,0.66667,0.863,0.73714,0.78111,4.18558,0.82782,0.000496741,0.000496741,0.000496741
31,63.0868,0.71593,1.11398,0.86513,0.99777,1,0.995,0.85716,0.74473,3.6715,0.83806,0.0005109,0.0005109,0.0005109
