epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.91712,0.84776,1.781,0.87316,0.00333,1,0.995,0.85154,0.5429,2.49748,0.72582,2e-05,2e-05,2e-05
2,3.9355,0.68391,1.67093,0.88755,0.00333,1,0.995,0.88507,0.58045,2.46855,0.72493,5.9406e-05,5.9406e-05,5.9406e-05
3,5.9035,0.74314,1.59288,0.86212,0.00333,1,0.995,0.81915,0.60727,2.53876,0.74707,9.802e-05,9.802e-05,9.802e-05
4,7.78559,0.72503,1.45994,0.8483,0.00333,1,0.995,0.80757,0.66057,2.45665,0.73969,0.000135842,0.000135842,0.000135842
5,9.66549,0.75369,1.44323,0.86849,0.00333,1,0.995,0.8955,0.44923,2.45468,0.72317,0.000172872,0.000172872,0.000172872
6,11.5318,0.79488,1.34245,0.95175,0.00333,1,0.995,0.8072,0.62169,2.44427,0.73962,0.00020911,0.00020911,0.00020911
7,13.4219,0.81068,1.29444,0.90921,0.00333,1,0.995,0.92904,0.3896,2.38563,0.72664,0.000244556,0.000244556,0.000244556
8,15.3615,0.71407,1.19317,0.88044,0.00333,1,0.995,0.8955,0.55423,2.34155,0.74548,0.00027921,0.00027921,0.00027921
9,17.3092,0.80017,1.16167,0.90937,0.00333,1,0.995,0.82954,0.63236,2.35808,0.74627,0.000313072,0.000313072,0.000313072
10,19.2762,0.80434,1.14862,0.92023,0.00333,1,0.995,0.86254,0.60743,2.39524,0.75471,0.000346142,0.000346142,0.000346142
11,21.2047,0.76317,1.23811,0.91422,0.00333,1,0.995,0.82954,0.73845,2.43184,0.7758,0.00037842,0.00037842,0.00037842
12,22.9904,0.77267,1.10453,0.91179,0.00333,1,0.995,0.796,0.87114,2.39559,0.79686,0.000409906,0.000409906,0.000409906
13,24.7916,0.82328,1.08725,0.92203,0.00333,1,0.995,0.75207,0.83594,2.38376,0.77201,0.0004406,0.0004406,0.0004406
14,26.6677,0.83127,1.1343,0.91862,0.00333,1,0.995,0.77444,0.73046,2.35605,0.75811,0.000470502,0.000470502,0.000470502
