epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.81564,1.4493,3.63876,1.56243,0.00333,1,0.0044,0.00207,1.41545,3.48924,1.53352,2e-05,2e-05,2e-05
2,4.03879,1.37649,3.26967,1.25334,0.00333,1,0.04328,0.02251,0.67514,2.76814,0.79391,5.802e-05,5.802e-05,5.802e-05
3,6.01902,0.87898,3.05605,0.98018,0.00333,1,0.21471,0.10141,0.55993,2.69988,0.72858,9.34e-05,9.34e-05,9.34e-05
4,7.96597,0.77223,2.71387,0.90015,0.00333,1,0.31167,0.27216,0.51307,2.67559,0.7334,0.00012614,0.00012614,0.00012614
5,10.0387,0.78849,2.54557,0.88336,0.00333,1,0.995,0.80757,0.60341,2.74183,0.75693,0.00015624,0.00015624,0.00015624
6,11.9309,0.92665,2.38051,0.96752,0.00333,1,0.995,0.83056,0.4469,2.79903,0.77436,0.0001837,0.0001837,0.0001837
7,13.7621,0.92215,2.0951,0.92679,0.00333,1,0.995,0.84636,0.57896,2.57888,0.73991,0.00020852,0.00020852,0.00020852
8,15.7176,0.78127,1.83252,0.86839,0.00333,1,0.995,0.8955,0.54307,2.50975,0.72808,0.0002307,0.0002307,0.0002307
9,17.5862,0.74032,1.64581,0.88351,0.00333,1,0.995,0.86274,0.60044,2.48072,0.74367,0.00025024,0.00025024,0.00025024
10,19.4579,0.81219,1.64194,0.90126,0.00333,1,0.995,0.81878,0.73022,2.40896,0.75249,0.00026714,0.00026714,0.00026714
11,21.2938,0.80951,1.53459,0.91288,0.00333,1,0.995,0.81841,0.7425,2.37574,0.7465,0.0002814,0.0002814,0.0002814
12,23.1132,0.78654,1.41108,0.90677,0.00333,1,0.995,0.84037,0.58212,2.31392,0.72913,0.00029302,0.00029302,0.00029302
13,25.0061,0.82145,1.38181,0.8993,0.00333,1,0.995,0.85154,0.61544,2.31498,0.74991,0.000302,0.000302,0.000302
14,26.8573,0.88817,1.34615,0.91951,0.00333,1,0.995,0.8072,0.73388,2.30794,0.76216,0.00030834,0.00030834,0.00030834
15,28.8128,0.85985,1.23751,0.96106,0.00333,1,0.995,0.71957,0.89349,2.45647,0.78621,0.00031204,0.00031204,0.00031204
16,30.7949,0.80328,1.09826,0.92318,0.00333,1,0.995,0.86254,0.75381,2.4143,0.81463,0.0003131,0.0003131,0.0003131
17,32.7288,0.73486,1.16048,0.90039,0.01087,1,0.995,0.86254,0.6644,2.38258,0.7904,0.00031152,0.00031152,0.00031152
18,34.7878,0.7393,1.12716,0.89532,0.01125,1,0.995,0.83048,0.80052,2.347,0.80152,0.0003073,0.0003073,0.0003073
19,36.8397,0.70306,1.05224,0.91973,0.75634,1,0.995,0.79695,0.86693,2.36669,0.77326,0.00030044,0.00030044,0.00030044
20,38.7092,0.72367,1.11894,0.87964,0.95735,1,0.995,0.80757,0.87209,2.29996,0.76727,0.00029094,0.00029094,0.00029094
21,40.8537,0.74549,1.93381,0.81365,0.95308,1,0.995,0.8072,0.82537,2.16819,0.75587,0.0002788,0.0002788,0.0002788
22,42.9379,0.67316,1.65953,0.86418,0.89431,1,0.995,0.78524,0.8368,2.13923,0.76348,0.00026402,0.00026402,0.00026402
23,44.8875,0.64179,1.66237,0.84316,0.88037,1,0.995,0.82957,0.77764,2.14016,0.75345,0.0002466,0.0002466,0.0002466
24,46.9125,0.65296,1.67161,0.86443,0.89091,1,0.995,0.82954,0.7311,2.12237,0.7414,0.00022654,0.00022654,0.00022654
25,48.8607,0.68924,1.6881,0.81348,0.9004,1,0.995,0.82954,0.68243,2.07577,0.73073,0.00020384,0.00020384,0.00020384
26,50.771,0.64996,1.57845,0.79663,0.90463,1,0.995,0.85154,0.66705,2.04836,0.73544,0.0001785,0.0001785,0.0001785
27,52.7673,0.60426,1.54727,0.86607,0.91858,1,0.995,0.82954,0.69071,1.98337,0.73978,0.00015052,0.00015052,0.00015052
28,54.6776,0.61318,1.53422,0.86496,0.91858,1,0.995,0.82954,0.69071,1.98337,0.73978,0.0001199,0.0001199,0.0001199
29,56.5366,0.59579,1.57681,0.8477,0.93059,1,0.995,0.82954,0.71265,1.91634,0.73989,8.664e-05,8.664e-05,8.664e-05
30,58.4629,0.60212,1.46172,0.84265,0.94228,1,0.995,0.82954,0.73594,1.85025,0.74017,5.074e-05,5.074e-05,5.074e-05
