epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.908046,1.38862,3.75498,1.5404,0.00335,1,0.00425,0.0015,1.6662,3.52261,1.63193,0,0,0
2,2.20796,1.77148,3.88652,1.74311,0.00334,1,0.00432,0.00189,1.34255,3.47693,1.50971,1.99604e-05,1.99604e-05,1.99604e-05
3,3.6058,1.44051,3.55165,1.43891,0.00333,1,0.02251,0.00945,1.07086,3.22627,1.17147,3.98416e-05,3.98416e-05,3.98416e-05
4,4.83305,1.1697,3.39491,1.18778,0.00335,1,0.03824,0.02145,0.67102,2.74321,0.80492,5.96436e-05,5.96436e-05,5.96436e-05
5,6.02178,1.0186,3.40876,1.1705,0.00333,1,0.11056,0.05738,0.48419,2.6776,0.71616,7.93664e-05,7.93664e-05,7.93664e-05
6,7.22373,0.77771,3.26819,0.99522,0.00333,1,0.18796,0.07737,0.53298,2.67335,0.7265,9.901e-05,9.901e-05,9.901e-05
7,8.39997,0.85105,2.844,1.00219,0.00333,1,0.3655,0.22677,0.6541,2.71017,0.73213,0.000118574,0.000118574,0.000118574
8,9.58769,0.68224,2.73068,0.81935,0.00333,1,0.45036,0.34216,0.6245,2.72261,0.73801,0.00013806,0.00013806,0.00013806
9,10.8335,0.73282,2.6811,0.93091,0.00333,1,0.83,0.71404,0.60713,2.70408,0.74735,0.000157466,0.000157466,0.000157466
10,12.0974,0.75503,2.50578,0.93844,0.00333,1,0.9125,0.78004,0.65019,2.70002,0.74867,0.000176792,0.000176792,0.000176792
11,13.383,0.74184,2.56549,0.85854,0.00333,1,0.995,0.8072,0.74989,2.68941,0.75663,0.00019604,0.00019604,0.00019604
12,14.6865,0.77891,2.31008,0.82705,0.00333,1,0.995,0.81279,0.71012,2.6569,0.77299,0.000215208,0.000215208,0.000215208
13,16.0642,0.79574,2.23266,0.89231,0.00333,1,0.995,0.82954,0.66283,2.59324,0.75312,0.000234298,0.000234298,0.000234298
14,17.4246,0.79238,2.09756,0.853,0.00333,1,0.995,0.82954,0.62968,2.54667,0.75736,0.000253308,0.000253308,0.000253308
