epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.41594,1.4493,3.63876,1.56243,0.00333,1,0.0044,0.00207,1.41545,3.48924,1.53352,2e-05,2e-05,2e-05
2,5.57062,1.37071,3.26837,1.25138,0.00333,1,0.04356,0.02396,0.66205,2.76538,0.79132,5.9406e-05,5.9406e-05,5.9406e-05
3,7.37922,0.87683,3.05778,0.9783,0.00333,1,0.20702,0.11284,0.62279,2.70794,0.73671,9.802e-05,9.802e-05,9.802e-05
4,9.06431,0.75678,2.73506,0.90199,0.00333,1,0.54233,0.46064,0.54421,2.67355,0.73679,0.000135842,0.000135842,0.000135842
