epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,54.486,0.71508,1.18047,0.89915,0.91388,1,0.995,0.76324,0.74648,2.06666,0.745,0.000493898,0.000493898,0.000493898
45,55.7411,0.66204,1.04159,0.91006,0.89155,1,0.995,0.82957,0.80023,1.99464,0.76136,0.000496672,0.000496672,0.000496672
46,56.947,0.62554,0.95164,0.82419,0.89155,1,0.995,0.82957,0.80023,1.99464,0.76136,0.00049905,0.00049905,0.00049905
47,58.1802,0.69383,0.99278,0.84412,0.90492,1,0.995,0.79661,0.88339,1.92894,0.79965,0.000501032,0.000501032,0.000501032
48,59.4072,0.68023,1.10431,0.90341,0.90492,1,0.995,0.79661,0.88339,1.92894,0.79965,0.000502618,0.000502618,0.000502618
49,60.6366,0.70067,1.1155,0.90582,0.93295,1,0.995,0.8134,0.88014,1.92079,0.80782,0.000503808,0.000503808,0.000503808
50,61.8267,0.63025,1.01469,0.89932,0.93295,1,0.995,0.8134,0.88014,1.92079,0.80782,0.000504602,0.000504602,0.000504602
51,63.0661,0.61778,1.06801,0.84472,1,0.99455,0.995,0.79661,0.80538,1.94407,0.79614,0.000505,0.000505,0.000505
52,64.2654,0.58708,1.17207,0.8881,1,0.99455,0.995,0.79661,0.80538,1.94407,0.79614,0.000505002,0.000505002,0.000505002
53,65.438,0.66197,1.00571,0.86404,1,0.99455,0.995,0.79661,0.80538,1.94407,0.79614,0.000504608,0.000504608,0.000504608
54,66.7059,0.59527,1.05332,0.9029,0.95192,1,0.995,0.86254,0.6994,1.88454,0.75058,0.000503818,0.000503818,0.000503818
55,67.9101,0.54979,0.8869,0.86654,0.95192,1,0.995,0.86254,0.6994,1.88454,0.75058,0.000502632,0.000502632,0.000502632
56,69.1495,0.59653,0.89318,0.80719,0.95192,1,0.995,0.86254,0.6994,1.88454,0.75058,0.00050105,0.00050105,0.00050105
57,70.3651,0.65776,1.00466,0.87679,0.95632,1,0.995,0.86254,0.61805,1.9496,0.73604,0.000499072,0.000499072,0.000499072
58,71.5915,0.5753,1.03197,0.85118,0.95632,1,0.995,0.86254,0.61805,1.9496,0.73604,0.000496698,0.000496698,0.000496698
59,72.8216,0.54546,1.00331,0.90406,0.95632,1,0.995,0.86254,0.61805,1.9496,0.73604,0.000493928,0.000493928,0.000493928
60,74.031,0.60601,0.98049,0.87159,0.94147,1,0.995,0.84636,0.68405,1.97029,0.75447,0.000490762,0.000490762,0.000490762
61,75.2326,0.6606,0.99017,0.88431,0.94147,1,0.995,0.84636,0.68405,1.97029,0.75447,0.0004872,0.0004872,0.0004872
62,76.3906,0.48943,0.91785,0.81326,0.94147,1,0.995,0.84636,0.68405,1.97029,0.75447,0.000483242,0.000483242,0.000483242
63,77.603,0.50184,0.90349,0.8897,0.92839,1,0.995,0.84636,0.67496,2.01993,0.76152,0.000478888,0.000478888,0.000478888
64,78.8411,0.49011,0.98807,0.81921,0.92839,1,0.995,0.84636,0.67496,2.01993,0.76152,0.000474138,0.000474138,0.000474138
65,80.0753,0.55082,0.87312,0.8955,0.92839,1,0.995,0.84636,0.67496,2.01993,0.76152,0.000468992,0.000468992,0.000468992
66,81.3005,0.50605,1.12323,0.8881,0.91872,1,0.995,0.84636,0.69151,1.93808,0.7635,0.00046345,0.00046345,0.00046345
67,82.5955,0.57482,1.0208,0.86503,0.91872,1,0.995,0.84636,0.69151,1.93808,0.7635,0.000457512,0.000457512,0.000457512
68,83.8203,0.55062,0.99315,0.87299,0.91872,1,0.995,0.84636,0.69151,1.93808,0.7635,0.000451178,0.000451178,0.000451178
69,85.0904,0.53141,0.93507,0.84988,0.94982,1,0.995,0.84636,0.68716,1.81789,0.76832,0.000444448,0.000444448,0.000444448
70,86.2877,0.61985,0.98488,0.88629,0.94982,1,0.995,0.84636,0.68716,1.81789,0.76832,0.000437322,0.000437322,0.000437322
71,87.5364,0.50849,0.98818,0.82243,0.94982,1,0.995,0.84636,0.68716,1.81789,0.76832,0.0004298,0.0004298,0.0004298
72,88.8587,0.44123,0.84171,0.88936,0.96964,1,0.995,0.82957,0.79521,1.73317,0.7696,0.000421882,0.000421882,0.000421882
73,90.0479,0.57418,0.92172,0.87806,0.96964,1,0.995,0.82957,0.79521,1.73317,0.7696,0.000413568,0.000413568,0.000413568
74,91.2819,0.73006,1.07356,0.92947,0.96964,1,0.995,0.82957,0.79521,1.73317,0.7696,0.000404858,0.000404858,0.000404858
75,92.5359,0.44752,1.0498,0.83074,0.97537,1,0.995,0.81279,0.80327,1.73316,0.76603,0.000395752,0.000395752,0.000395752
76,93.8306,0.46171,1.01952,0.86641,0.97537,1,0.995,0.81279,0.80327,1.73316,0.76603,0.00038625,0.00038625,0.00038625
77,95.152,0.50157,0.91891,0.82613,0.97537,1,0.995,0.81279,0.80327,1.73316,0.76603,0.000376352,0.000376352,0.000376352
78,96.3513,0.48263,0.94575,0.82816,0.97573,1,0.995,0.84037,0.67036,1.67114,0.74979,0.000366058,0.000366058,0.000366058
79,97.6581,0.4968,0.90312,0.84038,0.97573,1,0.995,0.84037,0.67036,1.67114,0.74979,0.000355368,0.000355368,0.000355368
80,98.9281,0.42315,0.89397,0.82508,0.97573,1,0.995,0.84037,0.67036,1.67114,0.74979,0.000344282,0.000344282,0.000344282
81,100.194,0.52777,0.83352,0.85978,0.97466,1,0.995,0.9067,0.55005,1.63792,0.74199,0.0003328,0.0003328,0.0003328
82,101.369,0.38295,0.88656,0.85565,0.97466,1,0.995,0.9067,0.55005,1.63792,0.74199,0.000320922,0.000320922,0.000320922
83,102.528,0.47674,0.95306,0.88625,0.97466,1,0.995,0.9067,0.55005,1.63792,0.74199,0.000308648,0.000308648,0.000308648
84,103.782,0.51496,0.94043,0.86617,0.97485,1,0.995,0.8955,0.53201,1.59906,0.74434,0.000295978,0.000295978,0.000295978
85,104.919,0.42599,1.07404,0.85386,0.97485,1,0.995,0.8955,0.53201,1.59906,0.74434,0.000282912,0.000282912,0.000282912
86,106.057,0.46691,0.90722,0.86312,0.97485,1,0.995,0.8955,0.53201,1.59906,0.74434,0.00026945,0.00026945,0.00026945
87,107.264,0.51224,0.88964,0.88961,0.97485,1,0.995,0.8955,0.53201,1.59906,0.74434,0.000255592,0.000255592,0.000255592
88,108.609,0.52095,0.90768,0.82032,0.97651,1,0.995,0.91229,0.47374,1.49984,0.7402,0.000241338,0.000241338,0.000241338
89,109.721,0.4928,0.93739,0.82374,0.97651,1,0.995,0.91229,0.47374,1.49984,0.7402,0.000226688,0.000226688,0.000226688
90,110.917,0.4944,0.93353,0.81778,0.97651,1,0.995,0.91229,0.47374,1.49984,0.7402,0.000211642,0.000211642,0.000211642
91,112.066,0.45525,1.44825,0.82475,0.97651,1,0.995,0.91229,0.47374,1.49984,0.7402,0.0001962,0.0001962,0.0001962
92,113.31,0.33352,1.28117,0.77178,0.97931,1,0.995,0.92904,0.439,1.40915,0.72745,0.000180362,0.000180362,0.000180362
93,114.448,0.34546,1.45825,0.78732,0.97931,1,0.995,0.92904,0.439,1.40915,0.72745,0.000164128,0.000164128,0.000164128
94,115.631,0.39977,1.32969,0.84993,0.97931,1,0.995,0.92904,0.439,1.40915,0.72745,0.000147498,0.000147498,0.000147498
95,116.754,0.42936,1.36341,0.82878,0.97931,1,0.995,0.92904,0.439,1.40915,0.72745,0.000130472,0.000130472,0.000130472
96,117.974,0.36575,1.29744,0.75858,0.98032,1,0.995,0.92904,0.41632,1.35855,0.71947,0.00011305,0.00011305,0.00011305
97,119.225,0.33841,1.32458,0.78707,0.98032,1,0.995,0.92904,0.41632,1.35855,0.71947,9.5232e-05,9.5232e-05,9.5232e-05
98,120.374,0.35495,1.33059,0.82064,0.98032,1,0.995,0.92904,0.41632,1.35855,0.71947,7.7018e-05,7.7018e-05,7.7018e-05
99,121.529,0.41763,1.22575,0.756,0.98032,1,0.995,0.92904,0.41632,1.35855,0.71947,5.8408e-05,5.8408e-05,5.8408e-05
100,122.793,0.34873,1.29291,0.85436,0.98156,1,0.995,0.92904,0.40187,1.30927,0.71525,3.9402e-05,3.9402e-05,3.9402e-05
